user_id,name,username,password,email,default_preferences,default_address,parking area,birth_year,gender
1,Rut Mahagna,Rut_Mahagna,762,Rut_Mahagna@gmail.com,Walk Less,Zamenhoff Street 2 Tel Aviv,1,1980,Male
2,Sulaiman Eliane,Sulaiman_Eliane,686,Sulaiman_Eliane@gmail.com,Pay Less,Dizengoff Street 216 Tel Aviv,1,1987,Female
3,Nira Azoulay,Nira_Azoulay,69,Nira_Azoulay@gmail.com,Walk Less,HaYarkon Street 78 Tel Aviv,1,1955,Male
4,Marwa Schechter,Marwa_Schechter,339,Marwa_Schechter@gmail.com,Pay Less,Eilat Street 61 Tel Aviv,1,1984,Female
5,Paul Shabtay,Paul_Shabtay,637,Paul_Shabtay@gmail.com,Walk Less,Amiad Street 13 Tel Aviv,1,2003,Female
6,Marcel Singer,Marcel_Singer,55,Marcel_Singer@gmail.com,Pay Less,Shlomo Molkho Street 4 Tel Aviv,1,1999,Female
7,Vivian Elmaleh,Vivian_Elmaleh,701,Vivian_Elmaleh@gmail.com,Pay Less,Bilu Street 7 Tel Aviv,1,1946,Male
8,Hatem Aharoni,Hatem_Aharoni,363,Hatem_Aharoni@gmail.com,Pay Less,Ness Tsiyona Street 10 Tel Aviv,1,2004,Female
10,Rashid Moskowitz,Rashid_Moskowitz,709,Rashid_Moskowitz@gmail.com,Walk Less,Trumpeldor Street 11 Tel Aviv,1,1981,Male
11,Ester Daniyel,Ester_Daniyel,992,Ester_Daniyel@gmail.com,Walk Less,Soutine Street 16 Tel Aviv,1,1989,Female
12,Tariq Barukh,Tariq_Barukh,936,Tariq_Barukh@gmail.com,Pay Less,Shlomo Ibn Gabirol Street 100 Tel Aviv,1,1966,Female
13,Hassan Nes,Hassan_Nes,541,Hassan_Nes@gmail.com,Walk Less,Nahalat Binyamin Street 39 Tel Aviv,1,1971,Male
14,Elie Darawshi,Elie_Darawshi,399,Elie_Darawshi@gmail.com,Walk Less,HaYarkon Street 80 Tel Aviv,1,1976,Female
15,Zoya Raz,Zoya_Raz,946,Zoya_Raz@gmail.com,Pay Less,Dizengoff Street 50 Tel Aviv,1,1981,Male
16,Abed Gabay,Abed_Gabay,610,Abed_Gabay@gmail.com,Pay Less,Ha-Umanim Street 7 Tel Aviv,1,1967,Male
17,Ismail Sarhan,Ismail_Sarhan,514,Ismail_Sarhan@gmail.com,Pay Less,Ness Tsiyona Street 7 Tel Aviv,1,1998,Male
18,Abdullah Yonah,Abdullah_Yonah,967,Abdullah_Yonah@gmail.com,Pay Less,Rokach Boulevard 101 Tel Aviv,1,1966,Male
19,Abiel Amash,Abiel_Amash,764,Abiel_Amash@gmail.com,Walk Less,Rothschild Boulevard 96 Tel Aviv,1,1994,Female
20,Muhammad Shachar,Muhammad_Shachar,127,Muhammad_Shachar@gmail.com,Walk Less,Shalma Road 19 Tel Aviv,1,1955,Female
21,Noha Ben dod,Noha_dod,113,Noha_dod@gmail.com,Walk Less,Zamenhoff Street 2 Tel Aviv,1,1963,Male
22,Malek Jabarin,Malek_Jabarin,670,Malek_Jabarin@gmail.com,Walk Less,Ha-Doar Street 10 Tel Aviv,1,1981,Male
23,Nabil Hunas,Nabil_Hunas,666,Nabil_Hunas@gmail.com,Pay Less,Bekhor Shalom Shitrit Street 10 Tel Aviv,1,1973,Female
24,Arthur Asaraf,Arthur_Asaraf,468,Arthur_Asaraf@gmail.com,Walk Less,HaYarkon Street 78 Tel Aviv,1,1993,Male
25,Sonia Stein,Sonia_Stein,359,Sonia_Stein@gmail.com,Walk Less,J. L. Gordon Street 39 Tel Aviv,1,2004,Male
26,Sam Agbaria,Sam_Agbaria,728,Sam_Agbaria@gmail.com,Walk Less,Brodetsky Street 17 Tel Aviv,1,1964,Male
27,Paul Gaber,Paul_Gaber,401,Paul_Gaber@gmail.com,Walk Less,HaYarkon Street 78 Tel Aviv,1,2000,Male
28,Uriel Musa,Uriel_Musa,475,Uriel_Musa@gmail.com,Pay Less,Shlomo Ibn Gabirol Street 100 Tel Aviv,1,1968,Male
29,Zaynab Raz,Zaynab_Raz,569,Zaynab_Raz@gmail.com,Pay Less,HaYarkon Street 220 Tel Aviv,1,1992,Male
30,Esma Horowitz,Esma_Horowitz,709,Esma_Horowitz@gmail.com,Pay Less,Ben Yehuda Street 35 Tel Aviv,1,2006,Male
31,Yasser Avrahami,Yasser_Avrahami,450,Yasser_Avrahami@gmail.com,Walk Less,Shadal Street 3 Tel Aviv,1,1994,Female
32,Alice Said,Alice_Said,22,Alice_Said@gmail.com,Walk Less,HaYarkon Street 79 Tel Aviv,1,1995,Male
33,Ron Levy,Ron_Levy,488,Ron_Levy@gmail.com,Pay Less,Yigal Alon Street 120 Tel Aviv,1,1982,Female
34,Weronika Suleiman,Weronika_Suleiman,285,Weronika_Suleiman@gmail.com,Pay Less,Ahad HaAm Street 4 Tel Aviv,1,1985,Female
35,Adam Dahan,Adam_Dahan,163,Adam_Dahan@gmail.com,Walk Less,Eliezer Kaplan Street 4 Tel Aviv,1,1993,Female
36,Lee Shoshan,Lee_Shoshan,581,Lee_Shoshan@gmail.com,Pay Less,Ben Yehuda Street 38 Tel Aviv,1,1952,Female
37,Suad Khatib,Suad_Khatib,970,Suad_Khatib@gmail.com,Walk Less,Ha-Doar Street 10 Tel Aviv,1,1953,Female
38,Sophie Hussein,Sophie_Hussein,288,Sophie_Hussein@gmail.com,Walk Less,Mordechai Namir Road 149 Tel Aviv,1,1982,Male
39,Manoel Hunas,Manoel_Hunas,526,Manoel_Hunas@gmail.com,Pay Less,Weizmann Street 1 Tel Aviv,1,2002,Female
40,Gideon Asala,Gideon_Asala,357,Gideon_Asala@gmail.com,Pay Less,Shadal Street 7 Tel Aviv,1,1981,Female
41,Berta Saleh,Berta_Saleh,385,Berta_Saleh@gmail.com,Pay Less,Shlomo Ibn Gabirol Street 62 Tel Aviv,1,1975,Female
42,Dalal Lash,Dalal_Lash,174,Dalal_Lash@gmail.com,Pay Less,Montefiore Street 19 Tel Aviv,1,1962,Male
43,Sophia Sadeh,Sophia_Sadeh,502,Sophia_Sadeh@gmail.com,Pay Less,Kaf Gimel Yordei ha-Sira Street 1 Tel Aviv,1,1980,Male
44,Ayman Kadosh,Ayman_Kadosh,591,Ayman_Kadosh@gmail.com,Pay Less,Retsif Herbert Samuel Street 78 Tel Aviv,1,1989,Male
45,Hai Abu arar,Hai_arar,861,Hai_arar@gmail.com,Walk Less,Gush Khalav Street 10 Tel Aviv,1,1989,Male
46,Gabriele Attias,Gabriele_Attias,502,Gabriele_Attias@gmail.com,Walk Less,Bograshov Street 76 Tel Aviv,1,1993,Male
47,Nader Zilberman,Nader_Zilberman,207,Nader_Zilberman@gmail.com,Walk Less,Gat Rimon Street 3 Tel Aviv,1,1979,Female
48,Robert Leibowitz,Robert_Leibowitz,216,Robert_Leibowitz@gmail.com,Walk Less,Malkhi Yisrael Street 9 Tel Aviv,1,1950,Female
49,Yury Amer,Yury_Amer,890,Yury_Amer@gmail.com,Pay Less,Shabazi Street 67 Tel Aviv,1,1995,Male
50,Hani Naiym,Hani_Naiym,857,Hani_Naiym@gmail.com,Pay Less,Kaufmann Street 2 Tel Aviv,1,1967,Male
51,Irina Zen,Irina_Zen,343,Irina_Zen@gmail.com,Walk Less,Shlomo Ibn Gabirol Street 60 Tel Aviv,1,1956,Male
52,Lydia Gren,Lydia_Gren,622,Lydia_Gren@gmail.com,Pay Less,Shlomo Ibn Gabirol Street 62 Tel Aviv,1,2004,Male
53,Zahara Asher,Zahara_Asher,173,Zahara_Asher@gmail.com,Walk Less,Amiad Street 13 Tel Aviv,1,2005,Male
54,Sandra Ren,Sandra_Ren,85,Sandra_Ren@gmail.com,Pay Less,Rokach Boulevard 101 Tel Aviv,1,1993,Female
55,Marianna Cohen,Marianna_Cohen,643,Marianna_Cohen@gmail.com,Walk Less,HaYarkon Street 115 Tel Aviv,1,1978,Female
56,Christina Davidov,Christina_Davidov,246,Christina_Davidov@gmail.com,Pay Less,Ben Yehuda Street 35 Tel Aviv,1,1951,Female
57,Karin Yakubov,Karin_Yakubov,499,Karin_Yakubov@gmail.com,Pay Less,Weizmann Street 53 Tel Aviv,1,1965,Male
58,Noha Hamide,Noha_Hamide,824,Noha_Hamide@gmail.com,Pay Less,Ness Tsiyona Street 7 Tel Aviv,1,2006,Female
59,Salwa Cohen,Salwa_Cohen,210,Salwa_Cohen@gmail.com,Pay Less,Weizmann Street 53 Tel Aviv,1,2007,Male
60,Bassam Lerner,Bassam_Lerner,460,Bassam_Lerner@gmail.com,Pay Less,Sderot Shaul HaMelech 27 Tel Aviv,1,1971,Male
61,Evgeny Yusupov,Evgeny_Yusupov,270,Evgeny_Yusupov@gmail.com,Walk Less,Brenner Street 21 Tel Aviv,1,1954,Male
62,Amani Schechter,Amani_Schechter,623,Amani_Schechter@gmail.com,Walk Less,Weizmann Street 2 Tel Aviv,1,1978,Male
63,Irena Stern,Irena_Stern,815,Irena_Stern@gmail.com,Walk Less,Soutine Street 16 Tel Aviv,1,1989,Male
